1,100,260
1,100,158
1,15,158
1,130,158
1,100,158
1,10,2
1,20,5
1,20,15
1,50,4
1,120,80
2,400,209
2,30,94
2,20,94
2,300,155
2,13,155
2,400,306
2,40,3
2,78,60
2,520,130
2,500,120
3,400,115
3,250,60
3,350,90
4,150,10
4,20,30
4,5,30
4,520,130
4,20,10
4,400,10
4,100,10
4,200,5
5,1600,245
5,15,7
5,10,3
5,800,60
5,400,70
5,15,7
5,15,8
5,19,4
5,10,3
5,700,1
8,400,196
8,150,30
8,150,15
8,500,60
8,500,38
8,300,5
8,240,10
9,650,285
9,10,3
9,5,3
9,10,3
9,10,5
9,11,2
9,15,4
9,20,1
9,15,4
9,21,7
10,150,30
10,0,7
11,0,200
12,1000,269
12,200,198
12,200,198
13,500,199
14,200,234
14,300,514
14,100,193
14,100,98
